Id,source,latitude,longitude,region,country,admin1,localityName,localityQuality,observationDate,reportingDate,status,disease,serotypes,speciesDescription,sumAtRisk,sumCases,sumDeaths,sumDestroyed,sumSlaughtered,humansGenderDesc,humansAge,humansAffected,humansDeaths
230399,OIE,-27.9,30.8,Africa,South Africa,KwaZulu-Natal,HPAI_H5N8_2017_019,Exact,17/08/2017,22/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",248000,12,12,50000,0,,0,,
230381,OIE,54.837037,73.354155,Europe,Russian Federation,Omskaya Oblast,Novaya Stanica,Exact,16/08/2017,18/08/2017,Confirmed,African swine fever,,"domestic, swine",122,6,1,0,0,,,,
230333,OIE,-21.07774,30.21162,Africa,Zimbabwe,Masvingo,Mwambe,Exact,16/08/2017,16/08/2017,Confirmed,Foot and mouth disease,,"domestic, cattle",1283,112,0,,7,,,,
230396,OIE,-26.0,28.3,Africa,South Africa,Gauteng,HPAI_H5N8_2017_020,Exact,15/08/2017,22/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild, unspecified bird",,1,1,0,0,,0,,
230371,OIE,49.2379,17.7002,Europe,Czech Republic,Jihomoravsky,Hvozdná,Exact,15/08/2017,17/08/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
230370,OIE,49.2373,17.7008,Europe,Czech Republic,Jihomoravsky,Ostrata,Exact,15/08/2017,17/08/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
230395,OIE,-26.0,28.3,Africa,South Africa,Gauteng,HPAI_H5N8_2017_021,Exact,14/08/2017,22/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, goose",34,19,19,0,0,,0,,
230367,OIE,47.771608,33.993286,Europe,Ukraine,Dnipropetrovs'ka,Slovyanka,Exact,14/08/2017,17/08/2017,Confirmed,African swine fever,,"domestic, swine",2,2,2,0,0,,,,
230379,OIE,56.538381,16.119304,Europe,Sweden,Kalmar Laen,Kalmar,Exact,13/08/2017,18/08/2017,Confirmed,Newcastle disease,APMV-I,"domestic, chicken",4000,1600,0,4000,0,,,,
230394,OIE,-24.6,27.2,Africa,South Africa,Limpopo,HPAI_H5N8_2017_022,Exact,12/08/2017,22/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",62,5,5,0,0,,,,
230380,OIE,55.456034,72.762834,Europe,Russian Federation,Omskaya Oblast,Tavrichanka,Exact,12/08/2017,18/08/2017,Confirmed,African swine fever,,"domestic, swine",8,1,1,7,0,,,,
230378,OIE,52.08446,23.080818,Europe,Poland,Lubeiskie,Terebela,Exact,12/08/2017,17/08/2017,Confirmed,African swine fever,,"domestic, swine",25,4,1,24,0,,,,
230377,OIE,53.644444,22.605556,Europe,Poland,Podlaskie,Pienczykowek,Exact,12/08/2017,17/08/2017,Confirmed,African swine fever,,"domestic, swine",19,5,5,14,0,,,,
230397,OIE,-26.8,29.8,Africa,South Africa,Mpumalanga,HPAI_H5N8_2017_018,Exact,11/08/2017,22/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",266,81,81,135,0,,,,
230369,OIE,49.2373,17.6999,Europe,Czech Republic,Jihomoravsky,Hvozdná,Exact,11/08/2017,17/08/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
230368,OIE,32.143211,34.842794,Asia,Israel,Tel Aviv,Hakfar Hayarok,Exact,10/08/2017,17/08/2017,Confirmed,Influenza - Equine,H3N8,"domestic, equidae",50,4,0,0,0,,,,
230334,OIE,46.78,6.64,Europe,Switzerland,Vaud,Lac de Neuch tel,Exact,10/08/2017,17/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"wild,mute swan (cygnus olor))",,2,2,,,,,,
230332,OIE,-21.25566,31.5248,Africa,Zimbabwe,Masvingo,Chipfugwana,Exact,10/08/2017,16/08/2017,Confirmed,Foot and mouth disease,,"domestic, cattle",1047,127,,,,,,,
230305,OIE,49.849592,26.435108,Europe,Ukraine,Khmel'nyts'ka,Korovye,Exact,10/08/2017,14/08/2017,Confirmed,African swine fever,,"domestic, swine",6614,64,64,1005,0,,,,
230376,OIE,51.928458,22.712944,Europe,Poland,Lubeiskie,Grabowiec,Exact,09/08/2017,17/08/2017,Confirmed,African swine fever,,"domestic, swine",36,5,2,34,0,,,,
230375,OIE,51.655215,23.268335,Europe,Poland,Lubeiskie,Mosty,Exact,09/08/2017,17/08/2017,Confirmed,African swine fever,,"domestic, swine",1,1,0,1,0,,,,
230374,OIE,51.821846,23.55278,Europe,Poland,Lubeiskie,Krzywowolka,Exact,09/08/2017,17/08/2017,Confirmed,African swine fever,,"domestic, swine",28,4,2,26,0,,,,
230308,OIE,56.71753,24.32933,Europe,Latvia,Rigas,Baldones caounty,Exact,09/08/2017,15/08/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,0,0,,,,
230306,OIE,48.361742,22.666549,Europe,Ukraine,Zakarpats'ka,Nyzhniy Koropets,Exact,09/08/2017,14/08/2017,Confirmed,African swine fever,,"domestic, swine",11,11,11,0,0,,,,
230289,OIE,-34.2,20.7,Africa,South Africa,Western Cape,HPAI_H5N8_2017_015,Exact,09/08/2017,11/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",1071,22,0,0,0,,,,
230288,OIE,-34.3,20.8,Africa,South Africa,Western Cape,HPAI_H5N8_2017_014,Exact,09/08/2017,11/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",1176,33,0,0,0,,,,
230383,OIE,53.70315,50.775044,Europe,Russian Federation,Samarskaya Oblast,Chernovka,Exact,08/08/2017,18/08/2017,Confirmed,Lumpy skin disease,,"domestic, cattle",132,11,0,0,0,,,,
230382,OIE,52.992708,49.562929,Europe,Russian Federation,Samarskaya Oblast,Kupino,Exact,08/08/2017,18/08/2017,Confirmed,Lumpy skin disease,,"domestic, cattle",1505,1,0,0,0,,,,
230373,OIE,51.961748,23.10187,Europe,Poland,Lubeiskie,Michalowka,Exact,08/08/2017,17/08/2017,Confirmed,African swine fever,,"domestic, swine",21,12,4,17,0,,,,
230307,OIE,56.405372,25.750728,Europe,Latvia,Jekabpils,Salas county,Exact,08/08/2017,15/08/2017,Confirmed,African swine fever,,"wild, wild boar",,1,0,1,0,,,,
230287,OIE,45.386298,10.558177,Europe,Italy,Lombardia,Solferino,Exact,08/08/2017,10/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, goose",7680,7680,,,,,,,
230304,OIE,56.208536,38.748856,Europe,Russian Federation,Vladimirskaya Oblast,Dubrovka,Exact,07/08/2017,11/08/2017,Confirmed,African swine fever,,"domestic, swine",37,1,1,36,0,,,,
230290,OIE,-25.8,29.6,Africa,South Africa,Mpumalanga,HPAI_H5N8_2017_016,Exact,07/08/2017,11/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",326764,975,975,325789,0,,,,
230372,OIE,51.660725,23.436161,Europe,Poland,Lubeiskie,Lack,Exact,06/08/2017,17/08/2017,Confirmed,African swine fever,,"domestic, swine",141,5,0,141,0,,,,
230275,OIE,55.020877,74.029901,Europe,Russian Federation,Omskaya Oblast,Borki,Exact,05/08/2017,11/08/2017,Confirmed,African swine fever,,"domestic, swine",1,1,1,,,,,,
230303,OIE,51.904159,46.499719,Europe,Russian Federation,Saratovskaya Oblast,Andreevka,Exact,04/08/2017,11/08/2017,Confirmed,African swine fever,,"domestic, swine",2,1,1,1,0,,,,
230302,OIE,58.020533,31.476617,Europe,Russian Federation,Novgorodskaya Oblast,Podborov’e,Exact,04/08/2017,11/08/2017,Confirmed,African swine fever,,"domestic, swine",29,1,1,28,0,,,,
230284,OIE,45.348406,10.531326,Europe,Italy,Lombardia,Medole,Exact,04/08/2017,07/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",18000,18000,,,,,,,
230283,OIE,45.346753,10.530068,Europe,Italy,Lombardia,Medole,Exact,04/08/2017,07/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",31700,31700,,,,,,,
230282,OIE,45.333108,10.522951,Europe,Italy,Lombardia,Medole,Exact,04/08/2017,07/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",45000,45000,,,,,,,
230281,OIE,-26.3,28.2,Africa,South Africa,Gauteng,HPAI_H5N8_2017_013,Exact,04/08/2017,07/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",30000,1774,1774,,,,,,
230280,OIE,-26.0,27.8,Africa,South Africa,Gauteng,HPAI_H5N8_2017_012,Exact,04/08/2017,07/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",77000,236,236,4800,0,,,,
230331,OIE,-21.16361,30.1836,Africa,Zimbabwe,Masvingo,Chengwe,Exact,03/08/2017,16/08/2017,Confirmed,Foot and mouth disease,,"domestic, cattle",2265,37,0,,6,,,,
230330,OIE,-21.15156,31.46206,Africa,Zimbabwe,Masvingo,Vhelemu,Exact,03/08/2017,16/08/2017,Confirmed,Foot and mouth disease,,"domestic, cattle",1500,16,,,,,,,
230301,OIE,51.86573,46.369445,Europe,Russian Federation,Saratovskaya Oblast,Kommuna-3,Exact,03/08/2017,11/08/2017,Confirmed,African swine fever,,"domestic, swine",,1,,,,,,,
230300,OIE,51.917743,46.578438,Europe,Russian Federation,Saratovskaya Oblast,Studenovka,Exact,03/08/2017,11/08/2017,Confirmed,African swine fever,,"domestic, swine",9,1,1,8,0,,,,
230299,OIE,55.862487,42.697239,Europe,Russian Federation,Nizhegorodskaya Oblast,Zhekino,Exact,03/08/2017,11/08/2017,Confirmed,African swine fever,,"wild, wild boar",,1,1,,,,,,
230286,OIE,45.137998,9.506145,Europe,Italy,Lombardia,Chignolo Po,Exact,03/08/2017,10/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, goose",3064,2100,2100,,,,,,
230285,OIE,55.578287,38.919265,Europe,Russian Federation,Moskovskaya Oblast,Kurovskoe,Exact,03/08/2017,08/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, unspecified bird",64,21,21,43,0,,,,
230298,OIE,47.180163,40.888223,Europe,Russian Federation,Rostovskaya Oblast,Leninsky,Exact,02/08/2017,11/08/2017,Confirmed,African swine fever,,"domestic, swine",20,1,1,19,0,,,,
230297,OIE,51.804067,46.227996,Europe,Russian Federation,Saratovskaya Oblast,Bokovka,Exact,01/08/2017,11/08/2017,Confirmed,African swine fever,,"domestic, swine",47,1,1,46,0,,,,
230292,OIE,43.37,122.15,Asia,China,Nei Mongol Zizhiqu,Khorchin,Exact,01/08/2017,04/08/2017,Confirmed,Influenza - Avian,H5N1 HPAI,"domestic, unspecified bird",81500,35000,15000,66500,,,,,
230273,OIE,44.88879,10.453311,Europe,Italy,Emilia-romagna,Sorbolo,Exact,01/08/2017,03/08/2017,Confirmed,Influenza - Avian,H5N8 HPAI,"domestic, turkey",24738,4900,1800,,,,,,
